,Humidity,Cloudiness,Wind Speed,Country,City,Latitude,Longitude,Max Temperature,Date
0,73,30,7.7,NC,Poum,-20.2333,164.0167,75.54,1635136626
1,94,0,6.91,ZA,Port Elizabeth,-33.918,25.5701,53.89,1635136627
2,92,78,3.98,CL,Lebu,-37.6167,-73.65,53.1,1635136627
3,39,20,11.18,RU,Petropavlovsk-Kamchatskiy,53.0452,158.6483,41.59,1635136627
4,71,4,2.08,KI,Butaritari,3.0707,172.7902,82.35,1635136627
5,70,87,0.31,SB,Buala,-8.145,159.5921,84.15,1635136628
6,69,40,13.8,MU,Bambous Virieux,-20.3428,57.7575,79.21,1635136408
7,70,100,25.08,AU,Esperance,-33.8667,121.9,71.44,1635136628
8,51,67,2.21,SS,Malakal,9.5334,31.6605,78.39,1635136629
9,14,0,0.98,NE,Arlit,18.7369,7.3853,77.29,1635136629
10,78,61,15.73,PF,Rikitea,-23.1203,-134.9692,74.64,1635136421
11,78,20,8.05,TO,Vaini,-21.2,-175.2,78.96,1635136629
12,73,99,7.9,PH,Pandan,14.0453,124.1694,84.51,1635136630
13,64,68,8.99,MU,Cap Malheureux,-19.9842,57.6142,79.47,1635136630
14,92,99,4.03,US,Albany,42.6001,-73.9662,49.68,1635136435
15,86,90,5.75,US,Barrow,71.2906,-156.7887,26.62,1635136425
16,84,90,0.0,US,Palmer,42.1584,-72.3287,51.22,1635136630
17,68,75,14.97,SJ,Longyearbyen,78.2186,15.6401,21.04,1635136631
18,100,75,16.11,CA,Yellowknife,62.456,-114.3525,41.41,1635136631
19,70,61,7.72,IN,Port Blair,11.6667,92.75,84.24,1635136631
20,74,100,9.51,ID,Sorong,-0.8833,131.25,83.77,1635136632
21,70,78,15.64,AU,Busselton,-33.65,115.3333,57.04,1635136632
22,89,90,0.0,US,Fairbanks,64.8378,-147.7164,26.1,1635136340
23,90,99,5.06,RU,Zhigansk,66.7697,123.3711,25.54,1635136632
24,90,13,2.64,BY,Forsytheganj,52.6333,29.7333,29.95,1635136633
25,78,100,11.21,KZ,Dossor,47.5272,52.9811,54.25,1635136633
26,18,5,1.32,YE,Marzuq,14.4,46.4667,74.37,1635136633
27,97,95,7.78,BR,Castro,-24.7911,-50.0119,54.99,1635136634
28,53,57,14.97,AU,Carnarvon,-24.8667,113.6333,75.27,1635136634
29,93,90,13.8,CL,Punta Arenas,-53.15,-70.9167,35.71,1635136581
30,94,99,3.31,VE,Upata,8.0086,-62.3989,71.53,1635136634
31,68,77,3.69,PH,Dingle,10.9995,122.6711,87.57,1635136634
32,70,5,18.48,PF,Atuona,-9.8,-139.0333,78.26,1635136635
33,88,98,18.19,RU,Tazovsky,67.4667,78.7,21.9,1635136635
34,58,0,2.3,ZA,Upington,-28.4478,21.2561,55.78,1635136635
35,73,75,0.0,TT,Chaguanas,10.5167,-61.4167,78.75,1635136636
36,90,100,16.35,VN,Tuy Hoa,13.0833,109.3,78.71,1635136636
37,68,75,1.99,US,Fortuna,40.5982,-124.1573,53.37,1635136636
38,100,75,0.0,MX,Puerto Madero,14.7208,-92.4215,79.0,1635136637
39,96,99,5.39,RU,Pevek,69.7008,170.3133,5.18,1635136637
40,70,1,6.96,GL,Upernavik,72.7868,-56.1549,14.18,1635136637
41,73,37,1.99,PT,Ribeira Grande,38.5167,-28.7,65.89,1635136638
42,72,80,7.96,PW,Kloulklubed,7.0419,134.2556,88.3,1635136638
43,84,100,3.02,BR,Posse,-14.0931,-46.3694,70.95,1635136638
44,77,36,6.73,PG,Lorengau,-2.0226,147.2712,83.43,1635136429
45,96,96,10.0,EC,Puerto Ayora,-0.7393,-90.3518,68.56,1635136639
46,67,74,1.01,HK,Hong Kong,22.2855,114.1577,79.03,1635136466
47,91,90,9.22,US,Rome,43.2128,-75.4557,51.66,1635136614
48,71,91,7.94,MM,Pathein,16.7833,94.7333,85.71,1635136639
49,69,0,4.0,ZA,Cape Town,-33.9258,18.4232,58.26,1635136639
50,73,96,4.03,NZ,Mataura,-46.1927,168.8643,64.31,1635136640
51,96,95,3.0,CF,Zemio,5.0314,25.1361,70.11,1635136640
52,100,86,1.74,ES,Bereda,43.2686,-7.5406,49.75,1635136640
53,93,0,3.44,ZA,Bredasdorp,-34.5322,20.0403,52.29,1635136641
54,74,0,7.36,BR,Cidreira,-30.1811,-50.2056,58.17,1635136641
55,78,0,10.36,ZA,Hermanus,-34.4187,19.2345,52.9,1635136641
56,69,41,6.98,MW,Nsanje,-16.92,35.262,80.33,1635136642
57,72,61,9.28,CV,São Filipe,14.8961,-24.4956,77.13,1635136642
58,55,100,5.55,JP,Ryōtsu-minato,38.0833,138.4333,60.76,1635136642
59,85,22,9.86,PE,Hualmay,-11.0964,-77.6139,61.9,1635136643
60,69,40,13.8,MU,Mahébourg,-20.4081,57.7,79.25,1635136643
61,100,0,6.46,PT,Praia da Vitória,38.7333,-27.0667,62.76,1635136643
62,96,90,3.0,US,Jamestown,42.097,-79.2353,52.92,1635136409
63,72,92,3.0,NZ,Dunedin,-45.8742,170.5036,58.8,1635136482
64,75,100,2.06,PH,Tagusao,9.1924,117.8141,82.31,1635136644
65,99,100,2.77,RU,Chokurdakh,70.6333,147.9167,-4.52,1635136644
66,23,0,5.75,AU,Yulara,-25.2406,130.9889,87.64,1635136644
67,58,0,11.3,GL,Qaanaaq,77.484,-69.3632,-4.76,1635136645
68,77,56,12.01,RU,Yalutorovsk,56.6536,66.3006,41.49,1635136645
69,63,85,5.3,ID,Rantepao,-2.9701,119.8978,82.58,1635136645
70,88,75,20.71,US,Kapaa,22.0752,-159.319,80.58,1635136646
71,97,98,2.21,CO,Inírida,3.8653,-67.9239,74.41,1635136646
72,69,75,5.75,VU,Isangel,-19.55,169.2667,82.51,1635136646
73,73,19,12.08,RU,Katangli,51.7102,143.2326,48.36,1635136646
74,93,1,2.3,CA,Fort Nelson,58.8053,-122.7002,26.19,1635136647
75,82,40,5.75,PT,Ponta Delgada,37.7333,-25.6667,63.32,1635136647
76,74,75,1.01,AU,Hobart,-42.8794,147.3294,56.01,1635136647
77,70,100,10.22,SO,Hobyo,5.3505,48.5268,80.82,1635136648
78,100,90,8.05,FI,Kempele,64.9131,25.5034,33.13,1635136648
79,84,75,2.82,SV,Acajutla,13.5928,-89.8275,79.84,1635136648
80,81,60,3.36,BR,Jardim,-21.4803,-56.1381,62.71,1635136649
81,93,75,4.61,CA,Norman Wells,65.282,-126.8329,23.04,1635136406
82,93,100,0.22,CD,Mbandaka,0.0487,18.2603,71.92,1635136649
83,88,99,2.04,BR,Niquelândia,-14.4739,-48.4597,72.75,1635136649
84,16,78,2.37,AF,Herat Province,34.5,62.0,61.11,1635136650
85,100,95,2.91,RU,Tiksi,71.6872,128.8694,-0.71,1635136412
86,94,100,3.96,NO,Sørland,67.667,12.6934,39.27,1635136650
87,88,98,2.59,CO,Pizarro,4.9533,-77.366,77.45,1635136650
88,96,100,17.94,IS,Husavik,66.0449,-17.3389,37.31,1635136651
89,21,5,8.93,MR,Adrar,20.5022,-10.0711,78.12,1635136651
90,85,8,3.0,PT,Lata,40.1629,-8.3327,50.41,1635136486
91,98,100,1.23,RU,Deputatsky,69.3,139.9,2.53,1635136651
92,85,100,5.39,RU,Kizner,56.2749,51.508,37.36,1635136389
93,80,90,13.8,AR,Ushuaia,-54.8,-68.3,33.46,1635136652
94,66,0,3.04,IN,Mon,26.75,95.1,77.56,1635136652
95,74,98,2.68,ID,Sijunjung,-0.6876,100.9537,83.62,1635136652
96,87,100,11.34,RU,Nikolskoye,59.7035,30.7861,37.87,1635136653
97,82,3,19.01,KM,Fomboni,-12.28,43.7425,80.71,1635136653
98,81,52,6.58,JM,Lucea,18.451,-78.1736,82.26,1635136653
99,81,100,10.18,PF,Faanui,-16.4833,-151.75,78.04,1635136653
100,67,0,13.58,ZA,Port Alfred,-33.5906,26.891,61.79,1635136654
101,75,72,7.05,MV,Dhidhdhoo,6.8833,73.1,82.42,1635136381
102,97,100,3.98,NZ,Tuatapere,-46.1333,167.6833,56.21,1635136654
103,90,100,15.03,RU,Khatanga,71.9667,102.5,3.02,1635136405
104,67,0,11.18,BR,Rio Grande,-32.035,-52.0986,57.58,1635136655
105,16,0,2.82,IR,Tabas,33.5959,56.9244,69.53,1635136655
106,77,100,4.43,CA,Fort Saint James,54.4333,-124.25,40.98,1635136655
107,68,58,7.18,ID,Majene,-3.5403,118.9707,85.35,1635136656
108,100,20,2.3,CA,Thompson,55.7435,-97.8558,26.76,1635136596
109,91,90,5.75,US,Hilo,19.7297,-155.09,75.27,1635136399
110,72,0,4.14,BR,Santa Maria,-29.6842,-53.8069,53.29,1635136656
111,35,100,13.47,CN,Shitanjing,39.2342,106.3439,51.13,1635136656
112,99,100,0.4,CD,Buta,2.7858,24.73,70.93,1635136657
113,97,100,1.43,BR,Fonte Boa,-2.4959,-66.2662,72.68,1635136657
114,80,75,1.01,US,Ontario,34.0633,-117.6509,64.87,1635136574
115,89,100,14.36,NZ,Bluff,-46.6,168.3333,55.42,1635136657
116,86,100,2.35,RU,Srednekolymsk,67.45,153.6833,1.2,1635136631
117,21,0,8.88,AR,San Rafael,-34.6177,-68.3301,68.13,1635136472
118,77,47,16.08,RE,Saint-Philippe,-21.3585,55.7679,80.47,1635136658
119,100,56,2.13,RU,Saskylakh,71.9167,114.0833,-15.25,1635136642
120,58,82,13.56,JP,Katsuura,35.1333,140.3,66.18,1635136515
121,69,40,13.8,MU,Souillac,-20.5167,57.5167,79.36,1635136658
122,51,100,15.23,RU,Kormilovka,55.0026,74.1028,46.15,1635136659
123,60,82,4.0,AU,New Norfolk,-42.7826,147.0587,55.65,1635136423
124,72,46,0.67,TZ,Kibiti,-7.7218,38.9375,77.99,1635136659
125,83,93,10.8,RU,Vanavara,60.34,102.2797,35.98,1635136659
126,45,100,12.8,RU,Troitskoye,52.9821,84.6757,50.22,1635136660
127,89,90,4.0,US,Pacific Grove,36.6177,-121.9166,65.43,1635136549
128,100,98,2.01,GF,Camopi,3.1655,-52.3158,72.59,1635136660
129,76,40,17.67,NO,Havøysund,70.9963,24.6622,32.23,1635136660
130,94,0,6.91,CL,Concepción,-36.827,-73.0498,53.4,1635136661
131,89,100,1.05,BR,São Sebastião,-23.76,-45.4097,67.1,1635136661
132,83,100,14.5,CA,Sechelt,49.4664,-123.7694,57.15,1635136661
133,48,0,2.68,ES,Calatayud,41.3535,-1.6432,50.58,1635136662
134,86,36,4.36,US,Saint Paul Harbor,57.79,-152.4072,41.09,1635136640
135,74,100,9.64,IN,Kavaratti,10.5669,72.642,81.99,1635136395
136,96,90,1.99,US,Laguna,38.421,-121.4238,59.25,1635136662
137,32,100,5.86,KZ,Beyneu,45.3167,55.2,56.34,1635136663
138,85,86,7.14,ES,Cervo,43.6702,-7.4101,53.19,1635136663
139,71,90,17.27,CA,Port Hardy,50.6996,-127.4199,51.8,1635136663
140,92,100,4.27,IS,Vestmannaeyjar,63.4427,-20.2734,44.85,1635136663
141,71,1,8.21,AZ,Artyom,40.4723,50.333,55.54,1635136664
142,79,52,8.93,VU,Luganville,-15.5333,167.1667,81.23,1635136664
143,91,100,11.05,JP,Nara,34.6851,135.8049,58.37,1635136665
144,40,89,17.9,RU,Shipunovo,52.1582,82.2173,50.13,1635136665
145,94,100,15.05,RU,Yerbogachën,61.2767,108.0108,34.57,1635136665
146,90,90,0.0,US,Bethel,41.3712,-73.414,55.71,1635136631
147,22,22,8.72,ML,Taoudenni,22.6783,-3.9836,79.61,1635136666
148,88,0,5.99,DE,Alfeld,51.9838,9.8199,42.94,1635136666
149,100,100,3.56,US,Hailey,43.5196,-114.3153,35.91,1635136666
150,71,0,12.15,ZA,Saldanha,-33.0117,17.9442,48.25,1635136666
151,67,87,13.29,RU,Severo-Kuril'sk,50.6789,156.125,39.67,1635136638
152,62,0,7.0,AR,Mar del Plata,-38.0023,-57.5575,63.09,1635136477
153,98,100,7.14,RU,Chernyshevskiy,63.0128,112.4714,32.45,1635136667
154,75,25,18.3,SO,Oddur,4.1213,43.8894,76.53,1635136667
155,70,37,2.98,SB,Gizo Government Station,-8.103,156.8419,83.5,1635136667
156,74,96,13.98,MV,Muli,2.9167,73.5667,82.94,1635136668
157,85,42,5.59,RU,Bogorodskoye,56.55,37.8833,28.27,1635136668
158,47,34,9.06,AU,Batemans Bay,-35.7167,150.1833,71.98,1635136668
159,74,74,4.72,ID,Sabang,5.8933,95.3214,81.45,1635136669
160,57,40,6.91,CK,Avarua,-21.2078,-159.775,75.25,1635136669
161,66,0,4.61,ES,Arroyo de la Encomienda,41.6096,-4.7969,51.19,1635136669
162,72,100,18.86,CA,Saint-Augustin,51.226,-58.6502,37.38,1635136670
163,95,100,6.76,CN,Caohai,26.8661,104.2841,47.88,1635136670
164,66,100,19.64,IS,Hofn,64.2539,-15.2082,41.97,1635136670
165,97,100,9.48,RU,Verkhnyaya Inta,65.9811,60.3094,26.35,1635136663
166,63,0,6.71,RU,Provideniya,64.3833,-173.3,19.51,1635136413
167,23,34,0.92,UZ,Hazorasp,41.3194,61.0742,44.44,1635136671
168,73,20,1.01,MY,George Town,5.4112,100.3354,88.9,1635136671
169,96,100,0.74,CA,Aklavik,68.2191,-135.0107,23.72,1635136427
170,88,100,17.74,BR,Arraial do Cabo,-22.9661,-42.0278,69.53,1635136672
171,61,98,18.79,AU,Yeppoon,-23.1333,150.7333,94.78,1635136672
172,19,0,4.12,IR,Ardakān,32.31,54.0175,57.58,1635136672
173,63,0,20.71,GL,Nuuk,64.1835,-51.7216,25.41,1635136672
174,76,100,8.99,TR,Görele,41.0308,39.0031,54.84,1635136673
175,77,49,6.31,MX,Cabo San Lucas,22.8909,-109.9124,77.61,1635136673
176,83,16,0.74,BR,Jutaí,-5.1833,-68.9,75.99,1635136673
177,17,39,11.5,AU,Alice Springs,-23.7,133.8833,89.15,1635136674
178,72,90,17.27,AU,Geraldton,-28.7667,114.6,65.12,1635136628
179,65,63,7.14,PG,Wewak,-3.5534,143.6268,85.66,1635136674
180,42,20,20.11,AR,Necochea,-38.5473,-58.7368,61.03,1635136674
181,78,54,4.81,TD,Kelo,9.3086,15.8066,74.82,1635136675
182,43,82,2.3,TL,Airai,-8.9266,125.4092,80.08,1635136675
183,52,40,11.5,AU,Nhulunbuy,-12.2333,136.7667,92.01,1635136675
184,90,100,20.42,BR,São João da Barra,-21.6403,-41.0511,70.99,1635136676
185,72,20,9.22,CY,Chlórakas,34.8042,32.4083,61.83,1635136676
186,26,98,2.98,IT,Laas,46.6166,10.7002,40.08,1635136676
187,51,68,11.56,JP,Hasaki,35.7333,140.8333,64.8,1635136676
188,32,1,3.71,MN,Khovd,48.0056,91.6419,43.36,1635136677
189,89,100,2.75,ID,Bengkulu,-3.8004,102.2655,76.66,1635136615
190,65,75,17.27,NU,Alofi,-19.0595,-169.9187,78.69,1635136448
191,100,20,6.91,FR,Plougastel-Daoulas,48.3667,-4.3667,55.42,1635136677
192,69,100,7.76,PT,Aljezur,37.3191,-8.8033,58.57,1635136678
193,60,1,5.01,RU,Solnechnyy,50.7214,136.6319,49.66,1635136678
194,58,1,8.05,US,Cheyenne,41.14,-104.8203,46.06,1635136562
195,86,51,4.92,RU,Shakhovskaya,56.0283,35.5097,27.52,1635136678
196,62,56,4.65,ET,Gambēla,8.25,34.5833,75.9,1635136679
197,62,100,6.2,US,Avera,33.194,-82.5271,67.51,1635136679
198,60,60,11.23,AU,Codrington,-38.2667,141.9667,55.49,1635136679
199,82,75,4.61,JP,Sakaiminato,35.55,133.2333,57.18,1635136680
200,73,40,3.44,CA,Clyde River,70.4692,-68.5914,16.03,1635136680
201,76,12,10.04,BR,Trairi,-3.2778,-39.2689,78.6,1635136616
202,73,53,0.94,PG,Kieta,-6.2167,155.6333,83.3,1635136680
203,65,40,18.41,JP,Hirara,24.8,125.2833,82.67,1635136681
204,96,52,3.02,RU,Cherskiy,68.75,161.3,-12.87,1635136408
205,88,1,12.66,PE,Pisco,-13.7,-76.2167,60.03,1635136681
206,95,93,4.74,CL,Valdivia,-39.8142,-73.2459,53.69,1635136647
207,67,3,17.11,PF,Moerai,-22.4333,-151.3333,73.17,1635136682
208,78,26,13.58,RU,Kamenka,51.3223,42.7678,31.66,1635136429
209,76,97,6.24,GW,Bubaque,11.2833,-15.8333,81.97,1635136682
210,85,0,10.13,US,San Patricio,28.017,-97.5169,80.89,1635136683
211,89,100,7.38,MX,Acapulco de Juárez,16.8634,-99.8901,76.82,1635136630
212,43,1,1.99,US,Saint George,37.1041,-113.5841,66.25,1635136560
213,94,81,1.21,VE,San Cristobal,7.7669,-72.225,71.78,1635136461
214,75,37,7.27,GL,Ilulissat,69.2167,-51.1,-2.78,1635136683
215,67,8,3.02,SO,Bandarbeyla,9.4942,50.8122,79.66,1635136684
216,61,18,5.37,IN,Puri,19.8,85.85,83.37,1635136684
217,67,46,6.2,PG,Namatanai,-3.6667,152.4333,84.69,1635136684
218,86,55,3.89,PA,Ailigandí,9.2333,-78.0167,78.85,1635136685
219,96,100,9.17,FI,Kemijärvi,66.7131,27.4306,28.65,1635136685
220,53,0,2.3,OM,Salalah,17.0151,54.0924,77.09,1635136635
221,88,100,17.11,PF,Tautira,-17.7333,-149.15,73.42,1635136635
222,97,100,2.26,BR,Chapada dos Guimarães,-15.4606,-55.7497,64.06,1635136685
223,83,1,4.61,US,Robinsonville,31.4677,-97.1147,75.52,1635136686
224,87,90,0.0,US,Russell,32.3502,-85.1999,69.08,1635136686
225,70,46,7.94,PG,Kavieng,-2.5744,150.7967,84.02,1635136686
226,95,100,6.93,US,Jupiter,26.9342,-80.0942,79.03,1635136687
227,75,90,10.0,US,Pocatello,42.8713,-112.4455,53.47,1635136687
228,60,4,2.48,SO,Qandala,11.472,49.8728,81.28,1635136687
229,98,21,3.89,RU,Bilibino,68.0546,166.4372,-18.45,1635136576
230,59,20,5.99,AU,Sydney,-33.8679,151.2073,75.47,1635136389
231,55,0,7.83,AR,Paraná,-31.732,-60.5238,63.52,1635136688
232,85,100,10.4,SE,Avesta,60.1455,16.1679,47.39,1635136688
233,78,48,9.4,RU,Krasnoborsk,61.5598,45.934,27.41,1635136688
234,93,100,4.7,KZ,Līsakovsk,52.5369,62.4936,47.91,1635136689
235,85,16,6.96,BR,Carutapera,-1.195,-46.02,78.6,1635136689
236,88,100,19.17,RU,Dikson,73.5069,80.5464,12.07,1635136689
237,46,60,11.14,CN,Daokou,35.5639,114.5058,66.76,1635136690
238,50,16,7.23,IN,Ghātanji,20.1333,78.3167,81.19,1635136690
239,71,27,5.48,PG,Finschhafen,-6.6024,147.8681,84.2,1635136588
240,96,18,9.66,GB,Northam,51.0333,-4.2167,56.08,1635136691
241,83,3,4.18,PT,Vila Franca do Campo,37.7167,-25.4333,63.01,1635136523
242,100,90,6.91,FI,Keminmaa,65.8596,24.8228,31.77,1635136691
243,27,100,8.05,AU,Mount Isa,-20.7333,139.5,91.17,1635136692
244,88,90,29.93,CA,Torbay,47.6666,-52.7314,51.58,1635136424
245,70,70,15.39,MU,Quatre Cocos,-20.2078,57.7625,79.09,1635136692
246,100,90,9.22,CA,Tuktoyaktuk,69.4541,-133.0374,24.8,1635136465
247,41,83,8.23,LY,Ubari,26.5921,12.7805,72.21,1635136692
248,33,0,5.84,SA,Sakakah,29.9697,40.2064,62.17,1635136693
249,72,42,3.2,NG,Jega,12.2175,4.3792,73.53,1635136693
250,71,74,10.6,UA,Chervonohryhorivka,47.623,34.5389,40.21,1635136693
251,80,1,5.75,CA,Sault Ste. Marie,46.5168,-84.3333,41.9,1635136525
252,45,0,4.61,AR,Mendoza,-32.8908,-68.8272,67.53,1635136694
253,51,1,6.42,CN,Yulin,22.6333,110.15,76.17,1635136694
254,99,99,0.85,CG,Sémbé,1.6481,14.5806,67.93,1635136694
255,24,0,10.27,AU,Port Pirie,-33.1833,138.0167,73.49,1635136695
256,70,74,12.48,TH,Bo Phloi,14.3236,99.5161,81.91,1635136695
257,86,100,46.17,GL,Tasiilaq,65.6145,-37.6368,30.36,1635136695
258,85,100,3.06,NZ,Te Anau,-45.4167,167.7167,60.8,1635136487
259,82,1,5.75,US,San Antonio,29.4241,-98.4936,79.25,1635136440
260,72,98,7.23,LK,Trincomalee,8.5711,81.2335,82.99,1635136696
261,61,62,7.74,PT,Ponta do Sol,32.6667,-17.1,70.43,1635136673
262,93,91,5.5,NZ,Ngunguru,-35.6167,174.5,62.58,1635136697
263,81,100,2.13,SS,Raja,8.4596,25.678,73.85,1635136697
264,80,0,10.49,MX,Guerrero Negro,27.9769,-114.0611,64.85,1635136698
265,45,4,3.22,MN,Ulaangom,49.9811,92.0667,43.21,1635136698
266,26,0,5.91,IR,Gerāsh,27.6652,54.1371,60.94,1635136698
267,87,90,4.61,CA,Smithers,54.7804,-127.1743,37.72,1635136436
268,38,55,8.77,LY,Sabha,27.0377,14.4283,73.69,1635136699
269,23,14,1.9,NA,Opuwo,-18.0607,13.84,64.74,1635136699
270,39,60,35.39,AR,Viedma,-40.8135,-62.9967,63.91,1635136625
271,71,80,6.89,PH,San Policarpo,12.1791,125.5072,84.24,1635136699
272,76,12,1.52,CL,Tocopilla,-22.092,-70.1979,58.84,1635136700
273,68,3,9.91,RU,Vysokogornyy,50.1167,139.15,44.53,1635136700
274,83,75,10.36,EC,Manta,-0.95,-80.7333,73.18,1635136700
275,74,42,13.38,MV,Hithadhoo,-0.6,73.0833,82.94,1635136701
276,100,90,9.22,FI,Rovaniemi,66.5,25.7167,27.81,1635136701
277,85,100,4.99,RU,Vuktyl,63.8567,57.3094,28.69,1635136701
278,69,46,2.89,IN,Mormugao,15.4,73.8,80.78,1635136702
